City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,boa vista,2.8197,-60.6733,78.78,73,40,5.75,BR,1675918550
84,dasoguz,41.8363,59.9666,19.35,79,75,16.11,TM,1675918550
85,butaritari,3.0707,172.7902,81.3,83,62,20.42,KI,1675918475
86,nerja,36.7585,-3.8873,51.94,86,69,4.0,ES,1675918551
87,tabou,4.423,-7.3528,76.71,89,81,1.83,CI,1675918551
88,ewa beach,21.3156,-158.0072,76.95,58,0,12.66,US,1675918551
89,ahipara,-35.1667,173.1667,68.45,60,22,9.86,NZ,1675918552
90,hovd,48.0056,91.6419,7.99,72,98,3.87,MN,1675918552
91,arraial do cabo,-22.9661,-42.0278,75.06,88,0,2.3,BR,1675918031
92,atuona,-9.8,-139.0333,79.32,75,53,21.32,PF,1675918284
93,miramar,25.9873,-80.2323,75.22,75,75,16.11,US,1675918553
94,kashi,39.4547,75.9797,31.21,59,40,6.71,CN,1675918553
95,geraldton,-28.7667,114.6,86.41,45,1,13.8,AU,1675918492
96,cidreira,-30.1811,-50.2056,75.63,85,21,18.7,BR,1675918554
97,dhrol,22.5667,70.4167,72.79,32,25,1.39,IN,1675918554
98,teluk nibung,3.001,99.8164,86.23,62,91,1.79,ID,1675918554
99,canyon lake,29.8752,-98.2625,51.62,74,0,5.53,US,1675918555
100,paranaiba,-19.6772,-51.1908,70.83,91,25,1.97,BR,1675918555
101,kimbe,-5.5502,150.1429,77.38,93,100,1.28,PG,1675918555
102,nanortalik,60.1432,-45.2371,25.9,86,100,9.35,GL,1675918556
103,dawlatabad,36.4141,64.9053,41.41,90,100,11.16,AF,1675918556
104,mataura,-46.1927,168.8643,56.48,54,83,8.21,NZ,1675918286
105,cape town,-33.9258,18.4232,70.38,75,0,6.91,ZA,1675918536
106,ilulissat,69.2167,-51.1,-11.18,70,62,4.61,GL,1675918283
107,noumea,-22.2763,166.4572,85.98,77,100,7.63,NC,1675918557
108,lulea,65.5842,22.1547,35.67,87,75,20.71,SE,1675918350
109,changchun,43.88,125.3228,26.56,56,97,8.97,CN,1675918557
110,okhotsk,59.3833,143.3,-12.93,82,19,13.0,RU,1675918558
111,palu,-0.8917,119.8707,89.31,59,100,6.08,ID,1675918558
112,kukes,42.0769,20.4219,21.87,79,44,5.53,AL,1675918558
